"CONCAT('[',num.LAT,',',num.LON,'],')"
"[43.59762995,1.443220177],"
"[43.59523730,1.446712250],"
"[43.60122767,1.443648710],"
"[43.59670620,1.443479082],"
"[43.59814875,1.444309398],"
"[43.59980945,1.445295233],"
"[43.59639613,1.449209658],"
"[43.60401631,1.436157019],"
"[43.60222551,1.448900521],"
"[43.60381513,1.444598574],"
"[43.59549755,1.448662703],"
"[43.59909133,1.442774129],"
"[43.59892131,1.451561020],"
"[43.60250537,1.437595572],"
"[43.60123796,1.447761169],"
"[43.60595106,1.448124472],"
"[43.60260818,1.441210239],"
"[43.60394339,1.440754941],"
"[43.59961744,1.447083907],"
"[43.59462153,1.445105302],"
"[43.60341849,1.445897050],"
"[43.59607858,1.443668498],"
"[43.60188914,1.438627149],"
"[43.60652356,1.442497795],"
"[43.60765260,1.437439037],"
"[43.61011806,1.441352959],"
"[43.60981095,1.442612138],"
"[43.60474979,1.449170863],"
"[43.60825559,1.444770368],"
"[43.59528681,1.445707684],"
"[43.60321499,1.442148630],"
"[43.60101154,1.450343560],"
"[43.60059318,1.451369961],"
"[43.59970889,1.448530906],"
"[43.59789127,1.443238287],"
"[43.59990361,1.443595755],"
"[43.60427691,1.446135349],"
"[43.60996414,1.438618810],"
"[43.60114454,1.450191532],"
"[43.59899933,1.441958916],"
"[43.59996371,1.440707942],"
"[43.59722698,1.446054667],"
"[43.60152015,1.450677506],"
"[43.59589593,1.444143846],"
"[43.59685033,1.446832238],"
"[43.59986245,1.445219559],"
"[43.60219559,1.450697526],"
"[43.60688896,1.440221307],"
"[43.59423589,1.445883074],"
"[43.60026264,1.449544996],"
"[43.60263355,1.445768378],"
"[43.60783299,1.438797217],"
"[43.60114165,1.441941400],"
"[43.60647447,1.439525737],"
"[43.60535341,1.439839334],"
"[43.59729945,1.441407727],"
"[43.60242954,1.447334454],"
"[43.59977792,1.441616971],"
"[43.60337649,1.443445264],"
"[43.59499580,1.447498741],"
"[43.59454186,1.442530968],"
"[43.59516448,1.443307819],"
"[43.60126864,1.442012485],"
"[43.61077799,1.440890078],"
"[43.60149714,1.446280435],"
"[43.59510483,1.444894810],"
"[43.60293337,1.443964475],"
"[43.59646405,1.443547190],"
"[43.60054889,1.445387889],"
"[43.60284817,1.441650081],"
"[43.60193052,1.449056670],"
"[43.59561243,1.451186643],"
"[43.60098002,1.450678827],"
"[43.60360097,1.443402376],"
"[43.59793044,1.444141543],"
"[43.60573147,1.444512576],"
"[43.59903176,1.449055993],"
"[43.59957214,1.445053529],"
"[43.60651538,1.441890952],"
"[43.60133428,1.451586527],"
"[43.60701785,1.442435626],"
"[43.60140732,1.443619354],"
"[43.60849024,1.445482962],"
"[43.59657967,1.447458462],"
"[43.60976880,1.444161895],"
"[43.59223453,1.442329724],"
"[43.59570553,1.448731737],"
"[43.59766579,1.443206876],"
"[43.60362259,1.435002613],"
"[43.60741616,1.444605922],"
"[43.59304531,1.443039816],"
"[43.59638868,1.441294725],"
"[43.59911444,1.451865803],"
"[43.59620853,1.441286938],"
"[43.60417255,1.447748486],"
"[43.60259506,1.445583538],"
"[43.60584412,1.446194562],"
"[43.59819964,1.449436359],"
"[43.60375596,1.442878118],"
"[43.60758558,1.440476063],"
"[43.60984410,1.437729838],"
"[43.60796723,1.440738872],"
"[43.60762409,1.440660915],"
"[43.59778837,1.440280411],"
"[43.59791077,1.444018174],"
"[43.60196771,1.440446158],"
"[43.60297575,1.436431439],"
"[43.60326352,1.438406172],"
"[43.60346632,1.443430586],"
"[43.60743147,1.437729645],"
"[43.59584344,1.444256664],"
"[43.59931240,1.449172736],"
"[43.59637156,1.444701514],"
"[43.60217787,1.440676159],"
"[43.59802390,1.447074895],"
"[43.60584746,1.443766301],"
"[43.59910525,1.449165612],"
"[43.59686449,1.447215869],"
"[43.60149511,1.447469712],"
"[43.59930483,1.443920704],"
"[43.60148232,1.444509361],"
"[43.60326765,1.442048181],"
"[43.61016521,1.440843784],"
"[43.60616692,1.446099624],"
"[43.60701653,1.445012550],"
"[43.60175929,1.443015764],"
"[43.59976179,1.444429328],"
"[43.59624572,1.442710460],"
"[43.60889554,1.443490356],"
"[43.60984663,1.443924512],"
"[43.60455787,1.446945830],"
"[43.60216706,1.447229640],"
"[43.59844223,1.444041789],"
"[43.60147915,1.443605135],"
"[43.60903568,1.442532805],"
"[43.60687434,1.447159445],"
"[43.59493581,1.447054355],"
"[43.60663519,1.447450472],"
